Timestamp,Boresight,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),Beam Sweep Time (s)
20251222_161329_490,-38,57,36.3,30,2.9,20.713920285624326,7.8575990200042725
20251222_161337_351,-30,56,34.8,30,2.9,15.428215599991475,7.902953624725342
20251222_161345_255,-22,52,29.0,31,1.5,11.01418102972363,7.9029319286346436
20251222_161353_159,-14,42,14.5,30,2.9,20.058332500252945,7.902729034423828
20251222_161401_063,-6,39,10.2,30,2.9,14.275780883857408,7.902801990509033
20251222_161408_967,2,31,-1.5,30,2.9,19.372217755244336,7.90455961227417
20251222_161416_873,10,28,-5.8,30,2.9,11.94298719212641,7.90076756477356
20251222_161424_775,18,22,-14.5,31,1.5,13.493564844935548,7.906911373138428
20251222_161432_683,26,16,-23.2,30,2.9,14.821191861849925,7.902727365493774
20251222_161440_587,34,14,-26.1,29,4.4,7.741844580759903,7.902611970901489
20251222_161448_491,41,6,-37.7,30,2.9,15.444459974897214,7.902781009674072
20251222_161456_395,49,8,-34.8,30,2.9,7.042344076440983,7.906843662261963
