Timestamp,Boresight,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),Beam Sweep Time (s)
20251224_140122_328,-32,51,27.6,54,-31.9,26.80651514800697,7.89673638343811
20251224_140130_226,-31,52,29.0,5,39.2,26.19218070397328,7.896233558654785
20251224_140138_123,-30,52,29.0,5,39.2,25.290847802629077,7.896411895751953
20251224_140146_021,-29,52,29.0,37,-7.3,24.47151920486874,7.898364067077637
20251224_140153_921,-28,49,24.7,26,8.7,26.85130451951339,7.896417379379272
20251224_140201_818,-27,49,24.7,45,-18.9,26.715811238056418,7.898478507995605
20251224_140209_718,-26,50,26.1,22,14.5,24.765264400329315,7.898416757583618
20251224_140217_618,-25,50,26.1,6,37.7,23.285453812256407,7.89639687538147
20251224_140225_516,-24,50,26.1,62,-43.5,21.36995136945704,7.900454044342041
20251224_140233_418,-23,46,20.3,60,-40.6,26.37165124585728,7.896511554718018
20251224_140241_316,-22,46,20.3,3,42.1,25.310442121485025,7.897668838500977
20251224_140249_215,-21,45,18.9,34,-2.9,26.5334881970756,7.896293878555298
20251224_140257_113,-20,46,20.3,47,-21.8,22.92541860928634,7.898440361022949
20251224_140305_012,-19,43,16.0,45,-18.9,26.69329830432791,7.902577400207519
20251224_140312_916,-18,1,-45.0,55,-33.4,6.719279616750868,7.898162603378296
20251224_140320_816,-17,42,14.5,28,5.8,26.879756397861613,7.900468111038208
20251224_140328_718,-16,41,13.1,29,4.4,26.967436507735243,7.898186445236206
20251224_140336_617,-15,41,13.1,3,42.1,26.32186756888521,7.898773193359375
20251224_140344_517,-14,41,13.1,19,18.9,25.109124907924567,7.897190093994141
20251224_140352_416,-13,40,11.6,5,39.2,26.69224482623477,7.903030633926392
20251224_140400_320,-12,40,11.6,58,-37.7,25.588419828669004,7.898367166519165
20251224_140408_220,-11,39,10.2,13,27.6,25.961028366261147,7.900345087051392
20251224_140416_122,-10,38,8.7,18,20.3,26.30659639227663,7.896327495574951
20251224_140424_019,-9,38,8.7,27,7.3,24.97602897504582,7.900529861450195
20251224_140431_921,-8,38,8.7,8,34.8,23.0982391408931,7.900498151779175
20251224_140439_823,-7,38,8.7,58,-37.7,21.208877722061004,7.900353193283081
20251224_140447_725,-6,35,4.4,33,-1.5,25.387069003690527,7.900359869003296
20251224_140455_626,-5,33,1.5,35,-4.4,26.80990492332498,7.900730609893799
20251224_140503_528,-4,2,-43.5,57,-36.3,11.365655408245049,7.898293495178223
20251224_140511_428,-3,31,-1.5,3,42.1,27.30940644279474,7.900253772735596
20251224_140519_330,-2,32,0.0,1,45.0,26.79188213159776,7.900456428527832
20251224_140527_231,-1,31,-1.5,2,43.5,27.08177616813994,7.900291204452515
20251224_140535_133,0,1,-45.0,4,40.6,8.916956660679247,7.898367166519165
20251224_140543_033,1,29,-4.4,2,43.5,27.48210009249777,7.898686408996582
20251224_140550_933,2,30,-2.9,2,43.5,26.59624519481393,7.90190577507019
20251224_140558_836,3,30,-2.9,7,36.3,25.329880113346636,7.8984456062316895
20251224_140606_736,4,28,-5.8,6,37.7,26.96691522381224,7.904542684555054
20251224_140614_642,5,28,-5.8,6,37.7,26.426825210867307,7.902086734771728
20251224_140622_545,6,25,-10.2,37,-7.3,26.959763476040703,7.900384902954102
20251224_140630_447,7,26,-8.7,13,27.6,26.62370344104204,7.910372495651245
20251224_140638_358,8,26,-8.7,6,37.7,26.077002960444645,7.902174949645996
20251224_140646_262,9,23,-13.1,12,29.0,27.4695868688094,7.8985700607299805
20251224_140654_162,10,23,-13.1,14,26.1,27.466414926926262,7.898379325866699
20251224_140702_061,11,24,-11.6,7,36.3,25.81908971453842,7.916412115097046
20251224_140709_979,12,22,-14.5,6,37.7,26.99425195684094,7.91044020652771
20251224_140717_891,13,21,-16.0,22,14.5,26.99394171685175,7.900656700134277
20251224_140725_793,14,21,-16.0,3,42.1,26.80439678090161,7.930328130722046
20251224_140733_724,15,20,-17.4,24,11.6,26.87088141211214,7.89627742767334
20251224_140741_622,16,20,-17.4,19,18.9,26.248208878659938,7.904398679733276
20251224_140749_527,17,20,-17.4,27,7.3,25.109294962665544,7.901035070419311
20251224_140757_430,18,18,-20.3,29,4.4,26.15285889862216,7.9155113697052
20251224_140805_347,19,18,-20.3,26,8.7,25.658520616283692,7.912689208984375
20251224_140813_261,20,18,-20.3,4,40.6,24.88557450983278,7.918349742889404
20251224_140821_180,21,16,-23.2,32,0.0,26.41239081111181,7.900285720825195
20251224_140829_082,22,15,-24.7,4,40.6,26.67703700995173,7.918682098388672
